Crm Cd Desc,DATE OCC,Premis Desc,Status Desc,LAT,LON
VEHICLE - STOLEN,2024-03-25T00:00:00Z,STREET,Invest Cont,34.0504,-118.2409
VEHICLE - STOLEN,2024-03-05T00:00:00Z,STREET,Invest Cont,34.0536,-118.2455
VEHICLE - STOLEN,2024-04-01T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0415,-118.262
VEHICLE - STOLEN,2024-01-01T00:00:00Z,PARKING LOT,Invest Cont,34.0494,-118.2599
VEHICLE - STOLEN,2024-02-14T00:00:00Z,STREET,Invest Cont,34.0684,-118.2449
VEHICLE - STOLEN,2024-01-02T00:00:00Z,STREET,Invest Cont,34.0725,-118.2489
VEHICLE - STOLEN,2024-01-20T00:00:00Z,STREET,Invest Cont,34.0408,-118.2644
VEHICLE - STOLEN,2024-01-29T00:00:00Z,STREET,Invest Cont,34.0542,-118.2566
VEHICLE - STOLEN,2024-03-24T00:00:00Z,STREET,Invest Cont,34.0542,-118.2415
VEHICLE - STOLEN,2024-02-14T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0409,-118.2609
VEHICLE - STOLEN,2024-03-12T00:00:00Z,STREET,Invest Cont,34.0509,-118.2515
VEHICLE - STOLEN,2024-03-05T00:00:00Z,STREET,Invest Cont,34.0524,-118.2467
VEHICLE - STOLEN,2024-03-24T00:00:00Z,STREET,Invest Cont,34.0404,-118.2504
VEHICLE - STOLEN,2024-03-29T00:00:00Z,STREET,Invest Cont,34.0487,-118.2588
VEHICLE - STOLEN,2024-03-01T00:00:00Z,STREET,Invest Cont,34.0358,-118.2594
VEHICLE - STOLEN,2024-01-26T00:00:00Z,STREET,Invest Cont,34.0349,-118.263
VEHICLE - STOLEN,2024-02-17T00:00:00Z,PARKING LOT,Invest Cont,34.047,-118.2647
VEHICLE - STOLEN,2024-03-21T00:00:00Z,STREET,Invest Cont,34.0369,-118.2583
VEHICLE - STOLEN,2024-01-18T00:00:00Z,STREET,Invest Cont,34.0494,-118.2599
VEHICLE - STOLEN,2024-03-27T00:00:00Z,STREET,Invest Cont,34.0377,-118.26220000000001
VEHICLE - STOLEN,2024-01-29T00:00:00Z,STREET,Invest Cont,34.0627,-118.2359
VEHICLE - STOLEN,2024-02-29T00:00:00Z,STREET,Invest Cont,34.048,-118.2542
VEHICLE - STOLEN,2024-02-01T00:00:00Z,STREET,Invest Cont,34.0408,-118.2428
VEHICLE - STOLEN,2024-02-14T00:00:00Z,STREET,Invest Cont,34.037,-118.2688
VEHICLE - STOLEN,2024-01-30T00:00:00Z,PARKING LOT,Adult Arrest,34.0533,-118.2361
VEHICLE - STOLEN,2024-03-07T00:00:00Z,PARKING LOT,Invest Cont,34.0506,-118.2371
VEHICLE - STOLEN,2024-03-22T00:00:00Z,STREET,Invest Cont,34.0383,-118.2633
VEHICLE - STOLEN,2024-02-06T00:00:00Z,STREET,Invest Cont,34.0414,-118.2319
VEHICLE - STOLEN,2024-02-20T00:00:00Z,STREET,Invest Cont,34.0468,-118.2415
VEHICLE - STOLEN,2024-02-22T00:00:00Z,STREET,Invest Cont,34.0462,-118.2371
VEHICLE - STOLEN,2024-02-01T00:00:00Z,PARKING LOT,Invest Cont,34.0473,-118.2601
VEHICLE - STOLEN,2024-03-27T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.051,-118.2445
VEHICLE - STOLEN,2024-01-15T00:00:00Z,PARKING LOT,Invest Cont,34.0444,-118.2628
VEHICLE - STOLEN,2024-02-02T00:00:00Z,STREET,Invest Cont,34.0626,-118.2434
